function id,signature with docstring,function body
679,"    def test_codec(self):
        """"""check that the error is in the same ballpark as PQ.""""""","        ds = datasets.SyntheticDataset(64, 3000, 3000, 0)

        xt = ds.get_train()
        xb = ds.get_database()

        nsplits = 2
        Msub = 2
        nbits = 4

        plsq = faiss.ProductLocalSearchQuantizer(ds.d, nsplits, Msub, nbits)
        plsq.train(xt)
        err_plsq = eval_codec(plsq, xb)

        pq = faiss.ProductQuantizer(ds.d, nsplits * Msub, nbits)
        pq.train(xt)
        err_pq = eval_codec(pq, xb)

        print(err_plsq, err_pq)
        self.assertLess(err_plsq, err_pq)"
680,"def check(ui, repo, **opts) -> int:
    """"""check the filesystem of a virtual checkout""""""","    args = [repo.root]
    if ui.verbose:
        args.append(""--verbose"")
    if opts[""dry_run""]:
        # edenfsctl uses a different name for --dry-run
        args.append(""--check-only"")
        opts[""dry_run""] = False
    return _calledenfsctl(ui, ""fsck"", args, opts=opts)"
681,"    def _sshgetdesignatednodes(self, keys):
        """"""
        Fetch the specified tree nodes over SSH.

        This method requires the server to support the ""designatednodes""
        capability. This capability overloads the gettreepack wireprotocol
        command to allow the client to specify an exact set of tree nodes
        to fetch; the server will then provide only those nodes.

        Returns False if the server does not support ""designatednodes"",
        and True otherwise.
        """"""","        fallbackpath = getfallbackpath(self._repo)
        with self._repo.connectionpool.get(fallbackpath) as conn:
            if ""designatednodes"" not in conn.peer.capabilities():
                raise error.ProgrammingError(""designatednodes must be supported"")

            mfnodes = [node for path, node in keys]
            directories = [path for path, node in keys]

            if self.ui.configbool(""remotefilelog"", ""debug"") and len(keys) == 1:
                name = keys[0][0]
                node = keys[0][1]
                msg = _(""fetching tree %r %s"") % (name, hex(node))
                self.ui.warn(msg + ""\n"")

            start = util.timer()
            with self.ui.timesection(""getdesignatednodes""):
                _gettrees(
                    self._repo,
                    conn.peer,
                    """",
                    mfnodes,
                    [],
                    directories,
                    start,
                    depth=1,
                    ondemandfetch=True,
                )

        return True"
682,"def _add_finder(importer, finder):
  """"""Register a new pkg_resources path finder that does not replace the existing finder.""""""","
  existing_finder = _get_finder(importer)

  if not existing_finder:
    pkg_resources.register_finder(importer, finder)
  else:
    pkg_resources.register_finder(importer, ChainedFinder.of(existing_finder, finder))"
683,"def reset(frequency=None):
    """"""Clear out the state of the profiler.  Do not call while the
    profiler is running.

    The optional frequency argument specifies the number of samples to
    collect per second.""""""","    assert state.profile_level == 0, ""Can't reset() while statprof is running""
    CodeSite.cache.clear()
    state.reset(frequency)"
684,"def get_dist_group():
    """"""
    Find the default pytorch distributed group.

    Used within FSDP to mark which workers are participating. Important to manually call
    this because FSDP will cache old groups, but our test suite will instantiate new
    groups per test.
    """"""","    from torch.distributed.distributed_c10d import _get_default_group

    return _get_default_group()"
685,"    def reorder_decoder_incremental_state(
        self, incremental_state: Dict[int, dict], inds: th.Tensor
    ) -> Dict[int, dict]:
        """"""
        Reorder the decoder incremental state.

        See ``TorchGeneratorModel.reorder_decoder_incremental_state`` for a description.

        Here, incremental_state is a dict whose keys are layer indices and whose values
        are dicts containing the incremental state for that layer.
        """"""","        return {
            idx: layer.reorder_incremental_state(incremental_state[idx], inds)
            for idx, layer in enumerate(self.decoder.transformer.layers)
        }"
686,"    def __init__(self, factory, takes_self=False):
        """"""
        `Factory` is part of the default machinery so if we want a default
        value here, we have to implement it ourselves.
        """"""","        self.factory = factory
        self.takes_self = takes_self"
687,"def _tryremove(repo, svfs, name):
    """"""Attempt to remote a file from svfs.
    Failures such as EPERM are ignored.
    """"""","    try:
        if svfs.isdir(name):
            svfs.rmtree(name)
        else:
            svfs.unlink(name)
        repo.ui.note_err(_(""removed backup file %s\n"") % name)
    except Exception as e:
        repo.ui.status_err(""cannot remove backup file %s: %s\n"" % (name, e))"
688,"def try_import(name, alternative=None):
    """"""Attempt to import ``name``.  If it fails, return ``alternative``.

    When supporting multiple versions of Python or optional dependencies, it
    is useful to be able to try to import a module.

    :param name: The name of the object to import, e.g. ``os.path`` or
        ``os.path.join``.
    :param alternative: The value to return if no module can be imported.
        Defaults to None.
    """"""","    module_segments = name.split('.')
    while module_segments:
        module_name = '.'.join(module_segments)
        try:
            module = __import__(module_name)
        except ImportError:
            module_segments.pop()
            continue
        else:
            break
    else:
        return alternative
    nonexistent = object()
    for segment in name.split('.')[1:]:
        module = getattr(module, segment, nonexistent)
        if module is nonexistent:
            return alternative
    return module"
689,"    def epoch_done(self):
        """"""
        Return if *all* the subworlds are done.
        """"""","        for t in self.worlds:
            if not t.epoch_done():
                return False
        return True"
690,"def debugvisibilitystart(ui, repo) -> int:
    """"""start tracking commit visibility explicitly""""""","    visibility.starttracking(repo)
    return 0"
691,"def maybe_annotate(
    character: str,
    text: str,
    annotate_speaker: bool,
    speaker_separator: bool,
    speaker_annotation_position: str,
) -> str:
    """"""
    Annotate text.

    Depending on setting of opt arg, either prepend or append.

    :param text:
        text to augment
    :param character:
        character to add
    :param annotate_speaker:
        whether to annotate the speaker
    :param speaker_separator:
        whether to incude speaker separator tokens
    :param speaker_annotation_position:
        where to annotate the speaker in the utterance

    :return text:
        return augmented text
    """"""","    if not annotate_speaker:
        return text
    speaker_text = character
    if speaker_separator:
        speaker_text = f'{BEGIN_SPEAKER} {character} {END_SPEAKER}'
    if speaker_annotation_position == 'prefix':
        return f'{speaker_text} {text}'
    else:
        return f'{text} {speaker_text}'"
692,"    def mv(self, src_path: str, dst_path: str, **kwargs: Any) -> bool:
        """"""
        Moves (renames) a source path supported by NativePathHandler to
        a destination path.

        Args:
            src_path (str): A URI supported by NativePathHandler
            dst_path (str): A URI supported by NativePathHandler

        Returns:
            status (bool): True on success
        Exception:
            Asserts if both the src and dest paths are not supported by
            NativePathHandler.
        """"""","
        # Moving across handlers is not supported.
        assert self.__get_path_handler(  # type: ignore
            src_path
        ) == self.__get_path_handler(
            dst_path
        ), ""Src and dest paths must be supported by the same path handler.""
        handler = self.__get_path_handler(src_path)
        bret = handler._mv(src_path, dst_path, **kwargs)
        kvs = {""op"": ""mv"", ""path"": src_path, ""dst_path"": dst_path}
        self.__log_tmetry_keys(handler, kvs)
        return bret"
693,"    def is_system_idle(
        self, tty_idle_timeout: datetime.timedelta, root_path: Path
    ) -> bool:
        """"""Return true if the system seems idle""""""",        raise NotImplementedError()
694,"    def reorder_decoder_incremental_state(
        self,
        incremental_state: Dict[int, Any],
        inds: Union[List[int], torch.LongTensor],
        decoder: RagDecoder,
    ) -> Dict[int, dict]:
        """"""
        Reorder the decoder incremental state, for incremental decoding.

        See ``TorchGeneratorModel.reorder_decoder_incremental_state`` for a description.

        Each RagModelType will require specialized reordering, depending on the method used.
        """"""",
695,"    def addSuccess(self, test, details=None):
        """"""Report a success in a test.""""""","        self._addOutcome(""successful"", test, details=details, error_permitted=False)"
696,"def showgraphwidth(repo, ctx, templ, **args):
    """"""Integer. The width of the graph drawn by 'log --graph' or zero.""""""","    # The value args['graphwidth'] will be this function, so we use an internal
    # name to pass the value through props into this function.
    return args.get(""_graphwidth"", 0)"
697,"    def knowledge_graph_context(self, example_state: Dict) -> str:
        """"""
        Generate the context for the flattened knowledge graph.
        """"""","        knowledge_graph = self.extract_knowledge_graph_str(example_state)
        return wrap_content(knowledge_graph, consts.KNOWLEDGE_GRAPH)"
698,"    def done(self):
        """"""Returns true if the response body is entirely read.""""""",        return self._finished
699,"def _graft(op, rev, mapping, lastdestnode, getcommitdate):
    '''duplicate changeset ""rev"" with parents from ""mapping""'''","    repo = op.repo
    oldp1 = rev.p1().node()
    oldp2 = rev.p2().node()
    newp1 = mapping.get(oldp1, oldp1)
    newp2 = mapping.get(oldp2, oldp2)

    m = _getmanifest(op, rev)

    def getfilectx(repo, memctx, path):
        if path in m:
            # We can't use the normal rev[path] accessor here since it will try
            # to go through the flat manifest, which may not exist.
            # That is, fctx.flags() might fail. Therefore use m.flags.
            flags = m.flags(path)
            fctx = _getfilectx(rev, m, path)
            return context.overlayfilectx(fctx, ctx=memctx, flags=flags)
        else:
            return None

    # If the incoming commit has no parents, but requested a rebase,
    # allow it only for the first commit. The null/null commit will always
    # be the first commit since we only allow a nullid->nonnullid mapping if the
    # incoming commits are a completely distinct history (see `sharedparents` in
    # getrevs()), so there's no risk of commits with a single null parent
    # accidentally getting translated first.
    if oldp1 == nullid and oldp2 == nullid:
        if newp1 != nullid:
            newp2 = nullid
            del mapping[nullid]

    if oldp1 != nullid and oldp2 != nullid:
        # The way commits work is they copy p1, then apply the necessary changes
        # to get to the new state. In a pushrebase situation, we are applying
        # changes from the pre-rebase commit to a post-rebase commit, which
        # means we need to ensure that changes caused by the rebase are
        # preserved. In a merge commit, if p2 is the post-rebase commit that
        # contains all the files from the rebase destination, those changes will
        # be lost, since the newp1 doesn't have those changes, and
        # oldp1.diff(oldrev) doesn't have them either. The solution is to ensure
        # that the parent that contains all the original rebase destination
        # files is always p1. We do that by just swapping them here.
        if newp2 == lastdestnode:
            newtemp = newp1
            oldtemp = oldp1
            oldp1 = oldp2
            oldp2 = oldtemp
            newp1 = newp2
            newp2 = newtemp

        # If it's a merge commit, Mercurial's rev.files() only returns the files
        # that are different from both p1 and p2, so it would not capture all of
        # the incoming changes from p2 (for instance, new files in p2). The fix
        # is to manually diff the rev manifest and it's p1 to get the list of
        # files that have changed. We only need to diff against p1, and not p2,
        # because Mercurial constructs new commits by applying our specified
        # files on top of a copy of the p1 manifest, so we only need the diff
        # against p1.
        bundlerepo = rev._repo
        files = _getmanifest(op, rev).diff(_getmanifest(op, bundlerepo[oldp1])).keys()
    else:
        files = rev.files()

    date = getcommitdate(repo.ui, rev.hex(), rev.date())

    extra = rev.extra().copy()
    mutinfo = mutation.record(repo, extra, [rev.node()], ""pushrebase"")
    loginfo = {""predecessors"": rev.hex(), ""mutation"": ""pushrebase""}

    return _commit(
        repo,
        [repo[newp1], repo[newp2]],
        rev.description(),
        files,
        getfilectx,
        rev.user(),
        date,
        extra,
        loginfo,
        mutinfo,
    )"
700,"    def basename(self, path: str) -> str:
        """"""return base element of a path (as os.path.basename would do)

        This exists to allow handling of strange encoding if needed.""""""",        return os.path.basename(path)
701,"def trackrevnumfortests(repo, specs):
    """"""Attempt to collect information to replace revision number with revset
    expressions in tests.

    This works with the TESTFILE and TESTLINE environment variable set by
    run-tests.py.

    Information will be written to $TESTDIR/.testrevnum.
    """"""","    if not util.istest():
        return

    trackrevnum = encoding.environ.get(""TRACKREVNUM"")
    testline = encoding.environ.get(""TESTLINE"")
    testfile = encoding.environ.get(""TESTFILE"")
    testdir = encoding.environ.get(""TESTDIR"")
    if not trackrevnum or not testline or not testfile or not testdir:
        return

    for spec in specs:
        # 'spec' should be in sys.argv
        if not any(spec in a for a in pycompat.sysargv):
            continue
        # Consider 'spec' as a revision number.
        rev = int(spec)
        if rev < -1:
            continue
        ctx = repo[rev]
        if not ctx:
            return

        # Check candidate revset expressions.
        candidates = []
        if rev == -1:
            candidates.append(""null"")
        desc = ctx.description()
        if desc:
            candidates.append(""desc(%s)"" % desc.split()[0])
            candidates.append(""max(desc(%s))"" % desc.split()[0])
        candidates.append(""%s"" % ctx.hex())

        for candidate in candidates:
            try:
                nodes = list(repo.nodes(candidate))
            except Exception:
                continue
            if nodes == [ctx.node()]:
                with open(testdir + ""/.testrevnum"", ""ab"") as f:
                    f.write(
                        ""fix(%r, %s, %r, %r)\n"" % (testfile, testline, spec, candidate)
                    )
                break"
702,"    def contains(self, item, prereleases=None):
        """"""
        Determines if the given item is contained within this specifier.
        """"""",
703,"        def __setattr__(self, name, value):
            """"""mimics the read-only attributes of Python file objects
            by raising 'TypeError: readonly attribute' if someone tries:
              f = posixfile('foo.txt')
              f.name = 'bla'""""""","            return self._file.__setattr__(name, value)"
704,"def parse_expr(expr_text, valid_variables):
    """"""parses the simple criteria expression syntax used in
    dependency specifications.
    Returns an ExprNode instance that can be evaluated like this:

    ```
    expr = parse_expr(""os=windows"")
    ok = expr.eval({
        ""os"": ""windows""
    })
    ```

    Whitespace is allowed between tokens.  The following terms
    are recognized:

    KEY = VALUE   # Evaluates to True if ctx[KEY] == VALUE
    not(EXPR)     # Evaluates to True if EXPR evaluates to False
                  # and vice versa
    all(EXPR1, EXPR2, ...) # Evaluates True if all of the supplied
                           # EXPR's also evaluate True
    any(EXPR1, EXPR2, ...) # Evaluates True if any of the supplied
                           # EXPR's also evaluate True, False if
                           # none of them evaluated true.
    """"""","
    p = Parser(expr_text, valid_variables)
    return p.parse()"
705,"    def get_image_features_path(self, task, image_model_name, dt):
        """"""
        Override so that subclasses can see same image features.
        """"""","        # In default implementation, self.data_path already has task name added
        image_features_path = os.path.join(self.data_path, 'image_features')

        if not os.path.isdir(image_features_path):
            PathManager.mkdirs(image_features_path)

        return os.path.join(
            image_features_path, f'{image_model_name}_{dt}_features_dict'
        )"
706,"def distributed_context(
    rank, opt, rank_offset=0, gpu=None, init_method=""tcp://localhost:61337""
):
    """"""
    A context which wraps initialization of a distributed/multiprocessing run.

    Every process in the distributed run should launch with this. In true
    distributed setting you may wish to use slurm_distributed_context instead.

    :param int rank:
        This process's rank, less rank_offset.
    :param int rank_offset:
        Used as an offset of rank. Used between multiprocessing vs true distributed,
        and a hack around torch.multiprocessing.spawn being only used for the
        non-primary workers.
    :param opt:
        command line options
        distributed training setups on the same machine.
    :param int gpu:
        Which GPU to use. Defaults to using rank and local devices, but must be
        manually specified when using many-hosts.
    :param str init method:
        Init method, such as ``tcp://localhost:61337``. See torch.distributed docs.
    """"""","    # Set per-host options
    opt = copy.deepcopy(opt)
    # we need to manually adjust the rank differently in multiprocessing
    # and distributed train
    rank = rank + rank_offset
    opt['rank'] = rank
    if gpu is None:
        # default assumption is local GPUs
        gpu = rank % torch.cuda.device_count()
    opt['gpu'] = gpu
    # make sure we don't just use whatever GPU was saved in the model file
    if 'override' not in opt:
        opt['override'] = {}
    opt['override']['gpu'] = gpu

    # Suppress output of workers except the main host.
    if opt.get('verbose') or rank != 0:
        print_prefix = 'rank:{:3d} |'.format(rank)
    else:
        print_prefix = None
    suppress_output = not opt.get('verbose') and rank != 0

    with override_print(suppress_output, print_prefix):
        # perform distributed setup, ensuring all hosts are ready
        if opt['gpu'] != -1:
            torch.cuda.set_device(opt['gpu'])
        dist.init_process_group(
            backend=""nccl"",
            init_method=init_method,
            world_size=opt['distributed_world_size'],
            rank=rank,
        )
        logging.info(""Distributed group initialized"")

        # manual_seed can be a noop without this
        torch.cuda.init()
        # make sure all parameters will be in sync
        torch.manual_seed(42)
        # force a sync so that no one gets ahead, and all are seeded together
        sync_object(None)

        try:
            yield opt
        finally:
            dist.destroy_process_group()"
707,"def video_list_from_file(video_list_fpath: str, base_path: Optional[str] = None):
    """"""
    Create a list of paths to video files from a text file.

    Args:
        video_list_fpath (str): path to a plain text file with the list of videos
        base_path (str): base path for entries from the video list (default: None)
    """"""","    video_list = []
    with PathManager.open(video_list_fpath, ""r"") as io:
        for line in io:
            video_list.append(maybe_prepend_base_path(base_path, str(line.strip())))
    return video_list"
708,"    def build_model(self, states=None):
        """"""
        Build and return model.
        """"""","        return HFGPT2Model(self.opt, self.dict)"
709,"    def dirfoldmap(self):
        """"""
        Returns a dictionary mapping normalized case paths to their
        non-normalized versions for directories.
        """"""","
        def lookup(key):
            d = self.getcasefoldedtracked(key + ""/"", util.normcase)
            if d is not None and self._rmap.hastrackeddir(d):
                return d.rstrip(""/"")
            else:
                return None

        return treestate._overlaydict(lookup)"
710,"def cloudrejoin(ui, repo, **opts):
    """"""reconnect the local repository to commit cloud

    If the local repository is not connected to commit cloud, attempt to connect
    it.  If the repository cannot be connected, then display a message
    describing how to connect to commit cloud.

    If connection is successful, then commits and bookmarks will be synchronized
    between all repositories that have been connected to the same commit cloud workspace.

    Use `@prog@ cloud sync` to trigger a new synchronization.
    """"""","    if workspace.currentworkspace(repo):
        return

    active = []
    try:
        workspacename = workspace.parseworkspace(ui, opts)
        if workspacename is None:
            # If the workspace name is not given, figure out the sensible default.
            # The specific hostname workspace will be preferred over the default workspace.
            reponame = ccutil.getreponame(repo)
            hostnameworkspace = workspace.hostnameworkspace(ui)
            winfos = service.get(ui).getworkspaces(
                reponame, workspace.userworkspaceprefix(ui)
            )

            active = [winfo for winfo in winfos if not winfo.archived]

            if winfos and any([winfo.name == hostnameworkspace for winfo in active]):
                workspacename = hostnameworkspace
            else:
                workspacename = workspace.defaultworkspace(ui)

        ui.status(
            _(""attempting to connect to the '%s' workspace for the '%s' repo\n"")
            % (workspacename, ccutil.getreponame(repo)),
            component=""commitcloud"",
        )

        # update the raw_workspace option as workspacename has been already parsed
        for opt in workspace.workspaceopts:
            opts.pop(opt[1], None)
        opts.update({""raw_workspace"": workspacename})
        cloudjoin(ui, repo, **opts)

    except ccerror.RegistrationError:
        ui.status(
            _(""unable to connect: not authenticated with Commit Cloud on this host\n""),
            component=""commitcloud"",
        )
        educationpage = ui.config(""commitcloud"", ""education_page"")
        if educationpage:
            ui.status(_(""learn more about Commit Cloud at %s\n"") % educationpage)

    else:
        # provide a hint if several alternatives have been available
        if len(active) > 1:
            hintutil.trigger(""commitcloud-switch"", ui, active)"
711,"def lr_func_steps_with_lrs(cur_iter):
    """"""For cfg.SOLVER.LR_POLICY = 'steps_with_lrs'

    Change the learning rate to specified values at specified iterations.

    Example:
    cfg.SOLVER.MAX_ITER: 90
    cfg.SOLVER.STEPS:    [0,    60,    80]
    cfg.SOLVER.LRS:      [0.02, 0.002, 0.0002]
    for cur_iter in [0, 59]   use 0.02
                 in [60, 79]  use 0.002
                 in [80, inf] use 0.0002
    """"""","    ind = get_step_index(cur_iter)
    return cfg.SOLVER.LRS[ind]"
712,"    def _makesmartloginfo(data):
        """"""Returns a SmartlogInfo that supports DAG operations like heads, parents,
        roots, ancestors, descendants, etc.
        """"""","        nodeinfos = _makenodes(data)
        version = data.get(""version"")
        timestamp = data.get(""timestamp"")

        public = _getpublic(nodeinfos)

        # Sort public by date. Connect them. Assume they form a linear history.
        # XXX: This can be incorrect if public history is not linear or not
        # sorted by date. However, nodeinfos only have limited information and
        # sort by date is the best effort we can do here.
        public.sort(key=lambda node: (nodeinfos[node].date, node), reverse=True)

        # {node: [parentnode]}
        publicparents = {node: public[i + 1 : i + 2] for i, node in enumerate(public)}

        def getparents(node):
            parents = publicparents.get(node)
            if parents is None:
                parents = [p for p in nodeinfos[node].parents if p in nodeinfos]
            return parents

        dag = bindings.dag.commits.openmemory()
        commits = [(node, getparents(node), b"""") for node in sorted(nodeinfos.keys())]
        dag.addcommits(commits)
        dag = dag.dagalgo()
        return SmartlogInfo(
            dag=dag,
            public=public,
            draft=list(dag.all() - public),
            nodeinfos=nodeinfos,
            version=version,
            timestamp=timestamp,
        )"
713,"    def __init__(self, *args, **kwargs):
        """"""
        Extra keyword arguments supported in addition to those in `torch.nn.Conv2d`:

        Args:
            norm (nn.Module, optional): a normalization layer
            activation (callable(Tensor) -> Tensor): a callable activation function

        It assumes that norm layer is used before activation.
        """"""","        norm = kwargs.pop(""norm"", None)
        activation = kwargs.pop(""activation"", None)
        super().__init__(*args, **kwargs)

        self.norm = norm
        self.activation = activation"
714,"  def __init__(self, options):
    """"""
    __init__(self):

    Instantiate class variables
    """"""","
    # TODO reseach decorators for logging and configs
    if not options:
      options = config.get_options('default', {})
    self.options = options
    self.logger = logger.get_logger()
    self.paths = utils.get_paths()
    self.git_path = self.paths['repo_root']"
715,"def checkvers(name, desc, vers):
    """"""Registers a check function for each of a series of versions.

    vers can be a list or an iterator""""""","
    def decorator(func):
        def funcv(v):
            def f():
                return func(v)

            return f

        for v in vers:
            v = str(v)
            f = funcv(v)
            checks[""%s%s"" % (name, v.replace(""."", """"))] = (f, desc % v)
        return func

    return decorator"
716,"    def test_label(self, path, k=1, threshold=0.0):
        """"""
        Return the precision and recall score for each label.

        The returned value is a dictionary, where the key is the label.
        For example:
        f.test_label(...)
        {'__label__italian-cuisine' : {'precision' : 0.7, 'recall' : 0.74}}
        """"""","        return self.f.testLabel(path, k, threshold)"
717,"    def is_scalar_type(type):
        """"""Checks whether a type is a scalar type.
        A type is a scalar type of its type is
            gdb.TYPE_CODE_CHAR or
            gdb.TYPE_CODE_INT or
            gdb.TYPE_CODE_BOOL or
            gdb.TYPE_CODE_FLT or
            gdb.TYPE_CODE_VOID or
            gdb.TYPE_CODE_ENUM.

        Arguments:
            type: The type to be checked.

        Returns:
            'True' if 'type' is a scalar type. 'False' otherwise.
        """"""",        return type.code in Explorer._SCALAR_TYPE_LIST
718,"    def guess_split_size(item: Chunk, num_gpus: Optional[int] = None, dim=0) -> int:
        """"""
        Estimate the number of chunks we should split the batch into via heuristics.
        """"""","        if num_gpus is None:
            num_gpus = torch.cuda.device_count()  # type: ignore

        if isinstance(item, torch.Tensor):
            if num_gpus == 1:
                # no point in chunking if we're not really doing model parallel
                return item.size(dim)
            # heuristic: use the same number of chunks as 2 * num_gpus.  this
            # isn't perfect (it ideally would be tuned differently for every model
            # and number of GPUs), but it seems to work reasonably wellenough in several
            # architectures tested.
            return max(1, item.size(dim) // int(num_gpus * 2))
        elif isinstance(item, tuple):
            return PipelineHelper.guess_split_size(item[0], num_gpus)
        elif isinstance(item, dict):
            return PipelineHelper.guess_split_size(list(item.values())[0], num_gpus)
        raise TypeError(f'Cannot determine split size for {type(item)}')"
719,"    def test_cloned_testcase_does_not_share_details(self):
        """"""A cloned TestCase does not share the details dict.""""""","        class Test(TestCase):
            def test_foo(self):
                self.addDetail(
                    'foo', content.Content('text/plain', lambda: 'foo'))
        orig_test = Test('test_foo')
        cloned_test = clone_test_with_new_id(orig_test, self.getUniqueString())
        orig_test.run(unittest.TestResult())
        self.assertEqual('foo', orig_test.getDetails()['foo'].iter_bytes())
        self.assertEqual(None, cloned_test.getDetails().get('foo'))"
720,"def add_training_inputs(model, roidb=None):
    """"""Create network input ops and blobs used for training. To be called
    *after* model_builder.create().
    """"""","    # Implementation notes:
    #   Typically, one would create the input ops and then the rest of the net.
    #   However, creating the input ops depends on loading the dataset, which
    #   can take a few minutes for COCO.
    #   We prefer to avoid waiting so debugging can fail fast.
    #   Thus, we create the net *without input ops* prior to loading the
    #   dataset, and then add the input ops after loading the dataset.
    #   Since we defer input op creation, we need to do a little bit of surgery
    #   to place the input ops at the start of the network op list.
    assert model.train, 'Training inputs can only be added to a trainable model'
    if roidb is not None:
        # To make debugging easier you can set cfg.DATA_LOADER.NUM_THREADS = 1
        model.roi_data_loader = RoIDataLoader(
            roidb,
            num_loaders=cfg.DATA_LOADER.NUM_THREADS,
            minibatch_queue_size=cfg.DATA_LOADER.MINIBATCH_QUEUE_SIZE,
            blobs_queue_capacity=cfg.DATA_LOADER.BLOBS_QUEUE_CAPACITY
        )
    orig_num_op = len(model.net._net.op)
    blob_names = roi_data_minibatch.get_minibatch_blob_names(is_training=True)
    for gpu_id in range(cfg.NUM_GPUS):
        with c2_utils.NamedCudaScope(gpu_id):
            for blob_name in blob_names:
                workspace.CreateBlob(core.ScopedName(blob_name))
            model.net.DequeueBlobs(
                model.roi_data_loader._blobs_queue_name, blob_names
            )
    # A little op surgery to move input ops to the start of the net
    diff = len(model.net._net.op) - orig_num_op
    new_op = model.net._net.op[-diff:] + model.net._net.op[:-diff]
    del model.net._net.op[:]
    model.net._net.op.extend(new_op)"
721,"    def test_l1_l2_sizesplit_bothget(self):
        """"""
        Basic functionality. Allow full setst to both pools.
        """"""","        mcr = self.get_mcrouter(self.config_bothset)

        self.assertFalse(mcr.get(""key1""))

        # small key should only exist in L1
        mcr.set(""key1"", ""value1"")

        # small key should be normal value in L1
        self.assertEqual(self.l1.get(""key1""), ""value1"")
        # small key shouldn't be in L2
        self.assertFalse(self.l2.get(""key1""), ""value1"")

        # perform a get and check the response
        self.assertEqual(mcr.get(""key1""), ""value1"")

        # key should end up split. end up in both pools.
        value2 = ""foo"" * 200
        mcr.set(""key2"", value2)
        # The write to L2 is async and we're checking it right away.
        time.sleep(1)

        self.assertEqual(self.l1.get(""key2""), value2)
        self.assertEqual(self.l2.get(""key2""), value2)
        self.assertEqual(mcr.get(""key2""), value2)"
722,"    def _build_rpa_episodes(self, ep: List[Message]) -> List[Message]:
        """"""
        Construct new episodes from old, LIGHT ones.

        enumerate over all possible start and label positions

        :param ep:
            episode to explode and build into new eps

        :return episodes:
            return a list of episodes after enumerating over possible labels.
        """"""","        episodes = []
        context, characters, utterances = self._explode_episode(
            ep, self.exclude_from_context, self.use_speech_prefix
        )
        candidates = (
            self.candidates
            if self.inline_candidate_type == 'all'
            else list(characters.values())
        )

        # determine initial start and end indices
        num_utts = self.num_utterances
        if num_utts < 0:
            num_utts = len(utterances) - 1

        start_idx, end_idx = (0, num_utts - 1)

        # Enumerate over all possible start, end positions
        while end_idx < len(utterances) - 1:
            # Step 0: (maybe) annotate the prior utterances of dialogue
            prev_utts = [
                maybe_annotate(
                    *utt[:-1],
                    self.annotate_speaker,
                    self.speaker_separator,
                    self.speaker_annotation_position,
                )
                for utt in utterances[start_idx:end_idx]
            ]
            if self.include_light_context:
                prev_utts = [context] + prev_utts

            # Step 1: enumerate over each successive utterance
            for speaker, label, listener in utterances[end_idx:]:
                # Step 2: determine the label control / task type
                if self.classifier_label_type == 'character':
                    speaker_label = (
                        speaker if self.speaker_label_type == 'speaker' else listener
                    )
                    label_control = (
                        WHO_AM_I
                        if self.speaker_label_type == 'speaker'
                        else WHO_ARE_YOU
                    )
                else:
                    speaker_label = (
                        SELF if speaker == characters['_self_name'] else PARTNER
                    )
                    label_control = WHO_IS_THIS
                # Step 3: Determine what label candidates to use
                if (
                    self.num_train_inline_candidates > 0
                    and DatatypeHelper.is_training(self.datatype)
                    and self.inline_candidate_type == 'all'
                ):
                    label_cands = [speaker, listener]
                    while speaker in label_cands and listener in label_cands:
                        label_cands = random.sample(
                            candidates, self.num_train_inline_candidates - 2
                        )
                    label_cands += [speaker, listener]
                    random.shuffle(label_cands)
                else:
                    label_cands = candidates

                # Step 4: Build the Message
                if self.left_to_right:
                    label_words = label.split(' ')
                    for i in range(1, len(label_words) + 1):
                        if self.delimit_label_control:
                            text = self.delimiter.join(
                                prev_utts + [label_control, ' '.join(label_words[:i])]
                            )
                        else:
                            text = self.delimiter.join(
                                prev_utts[:-1]
                                + [f""{prev_utts[-1]} {label_control}""]
                                + [' '.join(label_words[:i])]
                            )
                        message = Message(
                            {
                                'text': text,
                                'labels': [speaker_label],
                                'label_candidates': label_cands,
                                'episode_done': True,
                            }
                        )
                        episodes.append([message])
                else:
                    if self.delimit_label_control:
                        text = self.delimiter.join(prev_utts + [label_control, label])
                    else:
                        text = self.delimiter.join(
                            prev_utts[:-1]
                            + [f""{prev_utts[-1]} {label_control}""]
                            + [label]
                        )
                    message = Message(
                        {
                            'text': text,
                            'labels': [speaker_label],
                            'label_candidates': label_cands,
                            'episode_done': True,
                        }
                    )
                    episodes.append([message])

            if start_idx == end_idx:
                # edge case where num_utterances == 1
                break
            else:
                start_idx += 1
                end_idx += 1

        return episodes"
723,"    def findmissingrevs(self, common=None, heads=None):
        """"""Return the revision numbers of the ancestors of heads that
        are not ancestors of common.

        More specifically, return a list of revision numbers corresponding to
        nodes N such that every N satisfies the following constraints:

          1. N is an ancestor of some node in 'heads'
          2. N is not an ancestor of any node in 'common'

        The list is sorted by revision number, meaning it is
        topologically sorted.

        'heads' and 'common' are both lists of revision numbers.  If heads is
        not supplied, uses all of the revlog's heads.  If common is not
        supplied, uses nullid.""""""","        if common is None:
            common = [nullrev]
        if heads is None:
            heads = self.headrevs()

        inc = self.incrementalmissingrevs(common=common)
        return inc.missingancestors(heads)"
